en bi’l;bi’len;bi’ler;bi’lerne;a car
en bror;broren;brødre;brødrene;a brother
briller;brillerne;glasses (plur.)
en che’f;che’fen;che’fer;che’ferne;a boss
en computer;computeren;computere;computerne;a computer
en cykel;cyklen;cykler;cyklerne;a bike
en datter;datteren;døtre;døtrene;a daughter
en fami’lie;fami’lien;fami’lier;fami’lierne;a family
en far;faren;fædre;fædrene;a father
en flaske;flasken;flasker;flaskerne;a bottle
foræ’ldre;foræ’ldrene;parents (plur.)
et glas;glasset;glas;glassene;a glass
en herre;herren;herrer;herrerne;a gentleman
en hu’nd;hu’nden;hunde;hundene;a dog
en (flaske) hvidvi’n;hvidvi’nen;hvidvine;hvidvinene;a white wine
en jakke;jakken;jakker;jakkerne;a jacket
en kollega;kollega’en;kollega’er;kollega’erne;a colleague
en kop;koppen;kopper;kopperne;a cup
en kæreste;kæresten;kærester;kæresterne;a boy-/girlfriend;
en mobi’ltelefo’n;mobi’ltelefo’nen;mobi’ltelefo’ner;mobi’ltelefo’nerne;a phone
en læge;lægen;læger;lægerne;a doctor
en lærer;læreren;lærere;lærerne;a teacher
en ma’nd;ma’nden;mæ’nd;mæ’ndene;a man
et modersmå’l;modersmå’let;modersmå’l;modersmå’lene;a mother tongue
en moren;moren;mødre;mødrene;a mother
receptio’n;receptio’nen;receptio’ner;receptio’nerne;a reception
en (flaske) rødvi’n;rødvi’nen;rødvine;rødvinene;a redwine
et ska’b;ska’bet;skabe;skabene;a cupboard
et spro’g;spro’get;spro’g;spro’gene;a language
et su’permarked;su’permarkedet;su’permarkeder;su’permarkederne;a supermarket
en søn;sø’nnen;sønner;sønnerne;a son
en søster;søsteren;søstre;søstrene;a sister
et tørklæde;tørklædet;tørklæder;tørklæderne;a scarf
et u’r;u’ret;ure;urene;a watch
